item,cluster,raw_fraction,residual,z_score,coverage
dmw=11074,4,0.36795252225519287,-0.3204114950138855,-1.1141739302178166,337
dmw=11076,13,0.0,-0.2440062997438699,-1.7619908276450151,14
dmw=11076,11,0.0,-0.23736161832022806,-1.7032807839158985,18
dmw=11076,6,0.03529411764705882,-0.18999419976758858,-1.2847591066137765,85
dmw=11077,13,0.2077922077922078,-0.5111261205745676,-2.687920343402151,77
dmw=11077,6,0.3734567901234568,-0.3239187735344009,-1.6449901744924986,324
dmw=11086,0,0.04899777282850779,-0.2401780281393204,-1.6045656963203305,449
dmw=11086,1,0.02127659574468085,-0.23577963394843174,-1.590321223878781,470
dmw=11086,3,0.13333333333333333,-0.20260499879468616,-1.482883109945086,150
dmw=11088,8,0.24390243902439024,-0.4126506974115457,-2.2344463644086523,82
dmw=11088,6,0.4161490683229814,-0.22214138507157488,-1.2118193675137225,161
dmw=11088,13,0.47368421052631576,-0.18831650292905128,-1.0302521925506094,76
dmw=11089,13,0.39344262295081966,-0.32020757477248085,-2.3788317233882212,61
dmw=11089,8,0.5063291139240507,-0.20233960978821175,-1.439917825315041,79
dmw=11094,14,0.0,-0.2894275798346879,-2.1837097810324715,13
dmw=11094,8,0.07246376811594203,-0.16592691625968903,-1.1886733706064483,138
dmw=11094,13,0.08571428571428572,-0.15710743328682722,-1.1176153987292317,35
dmw=11094,4,0.06547619047619048,-0.15703671051780638,-1.1170455902101128,504
dmw=11094,6,0.07023411371237458,-0.15393354845192925,-1.0920436254139847,299
dmw=11105,7,0.03982300884955752,-0.1008539717270858,-1.3744434636184277,226
dmw=11105,12,0.037037037037037035,-0.07884394635558042,-1.1443110718464817,54
dmw=11106,1,0.15354135710747896,-0.20346577364621932,-1.6757367232365146,2019
dmw=11106,0,0.19949874686716793,-0.19547735445708544,-1.6342608537439967,1995
dmw=11106,10,0.2009132420091324,-0.1533004099828642,-1.4152781735429554,219
dmw=11106,3,0.3306930693069307,-0.1173700003063034,-1.228727499714419,505
dmw=11106,7,0.3203732503888025,-0.09754472939526254,-1.1257947004343538,643
dmw=11108,13,0.0,-0.14002761520064674,-1.589165329747812,43
dmw=11108,4,0.041666666666666664,-0.08520888898420362,-1.067163458317533,240
dmw=11118,13,0.5117647058823529,-0.15675008437542304,-2.1116759522568502,170
dmw=11118,4,0.49075081610446136,-0.1520782982886092,-2.047038104219808,919
dmw=11134,8,0.41025641025641024,-0.32229598771998846,-1.6584399211296734,39
dmw=11134,13,0.45454545454545453,-0.28273143081576885,-1.438050937296364,55
dmw=11134,14,0.5161290322580645,-0.2647794275318398,-1.3380517443041284,31
dmw=11134,4,0.465,-0.24964503975928337,-1.2537476953492102,200
dmw=11156,13,0.19658119658119658,-0.25010577410354884,-1.5816700569202624,117
dmw=11156,11,0.21951219512195122,-0.2182064485670844,-1.3560671982611818,123
dmw=11156,6,0.2071269487750557,-0.2139541910817834,-1.3259937898644505,449
dmw=11156,8,0.2631578947368421,-0.1775431316088526,-1.068482417264771,152
dmw=11157,4,0.03636363636363636,-0.24430938451249296,-1.4903686626814847,275
dmw=11157,8,0.05714285714285714,-0.2419614849420835,-1.4749105555357662,70
dmw=11157,13,0.08333333333333333,-0.2208797825146943,-1.3361127896330696,48
dmw=11157,6,0.0636042402826855,-0.21899884774682282,-1.3237290865384803,283
dmw=11169,15,0.4482758620689655,-0.20868571513144385,-2.3501867597028014,87
dmw=11176,7,0.6875,-0.12449587624418279,-1.7291507716044399,320
dmw=11191,9,0.555984555984556,-0.2235284111062935,-2.948672526963382,259
dmw=11191,12,0.7210884353741497,-0.11157986096939043,-1.513565782948743,147
dmw=11192,12,0.21428571428571427,-0.6655863273863375,-3.1988864194828066,14
dmw=11192,9,0.477124183006536,-0.36168470003719694,-1.6253827703996917,153
dmw=11194,13,0.10362694300518134,-0.6203253568947236,-1.952162767681943,193
dmw=11194,4,0.10995260663507109,-0.5906860819337937,-1.8521350489772115,1055
dmw=11194,6,0.20374707259953162,-0.4988886942724766,-1.5423338381540932,427
dmw=11194,8,0.2857142857142857,-0.43336521229549707,-1.3212027736328633,280
dmw=11221,10,0.2112676056338028,-0.2310745815332711,-1.666544161565986,71
dmw=11221,13,0.39622641509433965,-0.11880365518857205,-1.0356810305240387,53
dmw=1123,8,0.0,-0.3229221026456961,-2.165398565615441,35
dmw=1123,6,0.06951871657754011,-0.2361612039939598,-1.5779416731514708,187
dmw=1123,4,0.1092436974789916,-0.19441526144565174,-1.2952804506017934,238
dmw=1123,13,0.13793103448275862,-0.1903161341337385,-1.2675253140150131,29
dmw=11232,13,0.09302325581395349,-0.3181410840435065,-1.5997696084201831,86
dmw=11232,6,0.09009009009009009,-0.2960835231403004,-1.46933792799737,222
dmw=11234,13,0.08139534883720931,-0.5757768053330712,-2.5261190115760197,86
dmw=11234,4,0.30063291139240506,-0.3304596702374865,-1.2945676786108562,632
dmw=11234,8,0.3448275862068966,-0.3068601148268657,-1.1760922043558235,174
dmw=11234,6,0.35294117647058826,-0.2803696191860476,-1.0431035111500035,374
dmw=1124,6,0.1726078799249531,-0.4037784274319114,-2.007355253521395,533
dmw=1124,8,0.24669603524229075,-0.34909920919359894,-1.6973854706563525,227
dmw=1124,4,0.31220095693779903,-0.2618543840938258,-1.2028052560232414,836
dmw=1124,14,0.4155844155844156,-0.24172627882905307,-1.088701495592469,77
dmw=11289,1,0.25308641975308643,-0.24482242144241873,-1.7722286912095313,162
dmw=11289,0,0.3944954128440367,-0.14382193460477405,-1.1381453275420323,218
dmw=11294,12,0.41509433962264153,-0.46742637218714544,-3.4805999413685798,53
dmw=11294,10,0.7027027027027027,-0.17486838540866,-1.155552553075999,37
dmw=11296,13,0.21739130434782608,-0.29792396290335743,-1.7876729181592994,115
dmw=11296,7,0.2753623188405797,-0.2343170574134429,-1.4415452068473822,276
dmw=11302,10,0.0,-0.24358539992197134,-1.6371538354772406,96
dmw=11302,16,0.0,-0.20548379790766913,-1.3822230882543876,45
dmw=11302,13,0.109375,-0.19188145682414381,-1.291212348729536,64
