DMW,Cluster,Raw_Fraction,Residual,Z_Score,Coverage
dmw=19632,0,0.5364028776978417,-0.04566015030779558,-1.097758269853549,6950
dmw=16790,0,0.23355869698832207,-0.04518476387451845,-0.9146913435037806,1627
dmw=19484,0,0.1998704243602203,-0.045169480954061036,-1.076342863712893,3087
dmw=19832,0,0.5022359821121432,-0.04505055631192989,-0.8258186679277816,8721
dmw=20224,0,0.545843621399177,-0.04475305173416455,-0.5310970338987224,6075
dmw=13485,0,0.237698081734779,-0.04464897810201521,-0.9413406426816536,2398
dmw=6523,0,0.4574449644652453,-0.04464827426729512,-0.6779985157580029,5769
dmw=19900,0,0.6334390575441776,-0.04463651247411771,-0.7130157682531241,2207
dmw=19885,0,0.5830045523520485,-0.04459717154257059,-0.5950434130592003,6590
dmw=3325,0,0.3739352640545145,-0.04457900068170939,-0.7980817508379375,1174
dmw=19634,0,0.5523415977961432,-0.04438008941149896,-0.7589679960508796,6534
dmw=19914,0,0.5597335625268586,-0.04419870478843968,-1.021767642384912,4654
dmw=19571,0,0.4968335035750766,-0.04418287102587792,-0.7361717569462628,4895
dmw=2743,0,0.5566885817791494,-0.04393209619038241,-0.8728738510137736,7453
dmw=19682,0,0.5574759945130315,-0.04378248954955222,-0.8967450826196484,3645
dmw=19508,0,0.5512642881884309,-0.04370518779064125,-0.6555865116370012,5774
dmw=16509,0,0.28055307760927745,-0.04325673593597629,-0.9799245519309785,2242
dmw=17677,0,0.15882725163467623,-0.043187398269615984,-1.1517686016962774,4741
dmw=19610,0,0.5906838453914767,-0.04318402963736778,-0.7475808357365483,3027
dmw=15759,0,0.4739606126914661,-0.04312545990323163,-1.0979220006624704,2285
dmw=19883,0,0.5381056069678825,-0.04289225586132506,-0.6173992145168761,3674
dmw=19705,0,0.6206706981858163,-0.04268308623750339,-0.674285613352959,3638
dmw=19862,0,0.5707249499769124,-0.042624550409040896,-0.8606558749472749,6497
