item,cluster,raw_fraction,residual,z_score,coverage,dmw_id,gene
dmw=6262,5,0.41,-0.34709142694040723,-1.3511424527124185,100,dmw=6262,AT2G07714
dmw=6262,12,0.35294117647058826,-0.3309361039145881,-1.2804424867671187,34,dmw=6262,AT2G07714
dmw=6263,15,0.3076923076923077,-0.4440064008828325,-1.8038840222310384,52,dmw=6263,AT2G07646
dmw=6263,5,0.3364485981308411,-0.4022172655589296,-1.6112707358612472,107,dmw=6263,AT2G07646
dmw=6263,9,0.3125,-0.26976250251754674,-1.0007640334136414,48,dmw=6263,AT2G07646
dmw=6264,15,0.25773195876288657,-0.4601657275919717,-2.473767817694518,97,dmw=6264,AT2G07715
dmw=6264,5,0.3712574850299401,-0.33253231870945793,-1.7143087488446624,334,dmw=6264,AT2G07715
dmw=6264,14,0.45161290322580644,-0.2763422197025383,-1.3799599240032157,62,dmw=6264,AT2G07715
dmw=6265,14,0.21839080459770116,-0.6184329606625476,-2.630460502541224,87,dmw=6265,AT2G07715
dmw=6265,15,0.4692737430167598,-0.36057668089737666,-1.4018345052139458,179,dmw=6265,AT2G07715
dmw=6265,5,0.5257009345794392,-0.29423606774131095,-1.085736708113936,428,dmw=6265,AT2G07715
dmw=6269,9,0.2698412698412698,-0.31186738097706385,-1.613083930723227,126,dmw=6269,AT2G07718
dmw=6269,15,0.4482758620689655,-0.3029976775169675,-1.5600550729458489,58,dmw=6269,AT2G07718
dmw=6269,11,0.43283582089552236,-0.2740207046701711,-1.3868118772939597,67,dmw=6269,AT2G07718
dmw=6270,15,0.23076923076923078,-0.4869867143194196,-1.9998947779747203,104,dmw=6270,AT2G07648
dmw=6270,14,0.2878787878787879,-0.439937731190518,-1.7910367698868506,66,dmw=6270,AT2G07648
dmw=6270,5,0.30743243243243246,-0.3962114677791836,-1.5969288493777936,296,dmw=6270,AT2G07648
dmw=6271,15,0.2865853658536585,-0.4367447589344116,-1.9791331425070704,164,dmw=6271,AT2G07721
dmw=6271,14,0.3402061855670103,-0.39305966001031156,-1.7588850919800774,97,dmw=6271,AT2G07721
dmw=6271,9,0.24766355140186916,-0.2985581422173412,-1.2824348703173953,214,dmw=6271,AT2G07721
dmw=6271,5,0.4215686274509804,-0.2878153116112329,-1.2282725230545908,408,dmw=6271,AT2G07721
dmw=6272,15,0.3790322580645161,-0.36730738948420616,-2.0188975486505747,248,dmw=6272,AT2G07722
dmw=6272,5,0.3949685534591195,-0.33815682746041287,-1.836299843641135,795,dmw=6272,AT2G07722
dmw=6272,9,0.35194174757281554,-0.22337082326223706,-1.1172858871800864,412,dmw=6272,AT2G07722
dmw=6273,15,0.15384615384615385,-0.555646661447666,-2.7933488178778196,78,dmw=6273,AT2G07652
dmw=6273,5,0.42805755395683454,-0.2670855451281835,-1.2829903228821387,278,dmw=6273,AT2G07652
dmw=6275,15,0.352112676056338,-0.38517358766758514,-1.989505272192498,71,dmw=6275,AT2G07725
dmw=6275,9,0.25316455696202533,-0.31055870438901045,-1.591266870928267,79,dmw=6275,AT2G07725
dmw=6275,5,0.5208333333333334,-0.20294158705310605,-1.016887244862136,192,dmw=6275,AT2G07725
dmw=6275,14,0.5454545454545454,-0.20144162250537956,-1.0088815567582032,22,dmw=6275,AT2G07725
dmw=6276,15,0.35537190082644626,-0.3483656721017641,-1.626017463593565,121,dmw=6276,AT2G07656
dmw=6276,14,0.41333333333333333,-0.3007654602695722,-1.3679970921191453,75,dmw=6276,AT2G07656
dmw=6276,11,0.3595505617977528,-0.29518240705932364,-1.3377337506796532,89,dmw=6276,AT2G07656
dmw=6276,5,0.42745098039215684,-0.26177711521961183,-1.156657963872657,510,dmw=6276,AT2G07656
dmw=6277,5,0.22365591397849463,-0.4083922774023083,-2.072490512321021,465,dmw=6277,AT2G07656
dmw=6277,15,0.3937007874015748,-0.2541625656653506,-1.2554672728623772,127,dmw=6277,AT2G07656
dmw=6277,9,0.21354166666666666,-0.24506229351917294,-1.2072590920579798,192,dmw=6277,AT2G07656
dmw=6277,14,0.4318181818181818,-0.22741426498063538,-1.1137696516367577,44,dmw=6277,AT2G07656
dmw=6278,15,0.2786885245901639,-0.42098894705888623,-1.765195344650782,183,dmw=6278,AT2G07656
dmw=6278,5,0.31442463533225284,-0.3706335032522988,-1.5318991656277205,617,dmw=6278,AT2G07656
dmw=6278,9,0.19339622641509435,-0.3241310710391472,-1.3164539440092393,212,dmw=6278,AT2G07656
dmw=6278,14,0.40404040404040403,-0.3060817935155357,-1.2328318534849467,99,dmw=6278,AT2G07656
dmw=6284,15,0.1864406779661017,-0.5398318405089921,-2.12750558038253,59,dmw=6284,AT2G07827
dmw=6284,14,0.29310344827586204,-0.4430376697336695,-1.7046386606771655,58,dmw=6284,AT2G07827
dmw=6284,5,0.33948339483394835,-0.3729322871864699,-1.3983676638284748,271,dmw=6284,AT2G07827
dmw=6285,15,0.16233766233766234,-0.5762088863392968,-2.6625983768418866,154,dmw=6285,AT2G07830
dmw=6285,15,0.16233766233766234,-0.5762088863392968,-2.6625983768418866,154,dmw=6285,AT2G07827
dmw=6285,14,0.42391304347826086,-0.32421305796521904,-1.4052753524007389,92,dmw=6285,AT2G07830
dmw=6285,14,0.42391304347826086,-0.32421305796521904,-1.4052753524007389,92,dmw=6285,AT2G07827
dmw=6285,5,0.43156424581005587,-0.29351160672623017,-1.2520916994188518,716,dmw=6285,AT2G07830
dmw=6285,5,0.43156424581005587,-0.29351160672623017,-1.2520916994188518,716,dmw=6285,AT2G07827
dmw=6286,14,0.2222222222222222,-0.4640577419669255,-1.9007290087448594,45,dmw=6286,AT2G07787
dmw=6286,14,0.2222222222222222,-0.4640577419669255,-1.9007290087448594,45,dmw=6286,AT2G07658
dmw=6286,15,0.24778761061946902,-0.42758127949446406,-1.7450985310215485,113,dmw=6286,AT2G07787
dmw=6286,15,0.24778761061946902,-0.42758127949446406,-1.7450985310215485,113,dmw=6286,AT2G07658
dmw=6286,5,0.3157894736842105,-0.3443515493512229,-1.3899905576879503,494,dmw=6286,AT2G07787
dmw=6286,5,0.3157894736842105,-0.3443515493512229,-1.3899905576879503,494,dmw=6286,AT2G07658
dmw=6287,15,0.0,-0.6459315893055182,-2.386561914830723,74,dmw=6287,AT2G07659
dmw=6287,14,0.125,-0.5323300636187037,-1.9255212718373256,24,dmw=6287,AT2G07659
dmw=6288,15,0.2857142857142857,-0.42495697762455464,-1.7152619273828043,112,dmw=6288,AT2G07775
dmw=6288,5,0.2994011976047904,-0.39695364704760155,-1.5826226153907987,334,dmw=6288,AT2G07775
dmw=6288,16,0.23076923076923078,-0.31874588373507023,-1.2121872527220046,13,dmw=6288,AT2G07775
dmw=6288,14,0.40816326530612246,-0.3127229025366569,-1.1836590717578512,49,dmw=6288,AT2G07775
dmw=6289,15,0.22251308900523561,-0.48296324424613735,-2.2997733223898673,382,dmw=6289,AT2G07806
dmw=6289,5,0.341820987654321,-0.349193635364458,-1.618554881644942,1296,dmw=6289,AT2G07806
dmw=6289,14,0.37745098039215685,-0.33835032123614506,-1.5633355713341048,204,dmw=6289,AT2G07806
dmw=6290,15,0.20652173913043478,-0.45799848465708326,-2.455628826056843,92,dmw=6290,AT2G07806
dmw=6290,5,0.27507163323782235,-0.3739762748597767,-1.988273301235118,349,dmw=6290,AT2G07806
dmw=6291,15,0.22149837133550487,-0.47047969658761846,-2.218362310807416,307,dmw=6291,AT2G07806
dmw=6291,5,0.27421109902067464,-0.4029457762737212,-1.8816589243812452,919,dmw=6291,AT2G07806
dmw=6291,9,0.2601626016260163,-0.24827627663456148,-1.1105242995395441,369,dmw=6291,AT2G07806
dmw=6292,5,0.33244962884411455,-0.38813667354492576,-1.8144336250675748,1886,dmw=6292,AT2G05365
dmw=6292,14,0.3685800604229607,-0.3752999432849526,-1.7473212685439286,331,dmw=6292,AT2G05365
dmw=6292,15,0.41986062717770034,-0.31433570842550007,-1.4285910792965442,574,dmw=6292,AT2G05365
dmw=6292,12,0.4051094890510949,-0.23646876832181296,-1.0214910047597305,274,dmw=6292,AT2G05365
dmw=6293,15,0.1125,-0.5467365819923061,-2.077541479003042,80,dmw=6293,AT2G07738
dmw=6293,14,0.2830188679245283,-0.38740640797443887,-1.43232649579282,53,dmw=6293,AT2G07738
dmw=6293,5,0.30337078651685395,-0.3402804724629453,-1.241487818327969,267,dmw=6293,AT2G07738
dmw=6294,15,0.29155313351498635,-0.40810749412513436,-1.982305645132151,367,dmw=6294,AT2G07795
dmw=6294,5,0.3598455598455598,-0.32519528388212865,-1.5146035854065836,1295,dmw=6294,AT2G07795
dmw=6294,14,0.4057142857142857,-0.3043914109249085,-1.3972503728478618,175,dmw=6294,AT2G07795
